#OTU_IDs	16S_rRNA_Count
538515	10.0
4485382	3.0
202618	4.0
4394966	5.0
4452778	4.0
283463	6.0
471216	7.0
129086	6.0
470219	4.0
156825	8.0
264769	7.0
471218	3.0
242550	13.0
263230	7.0
532556	2.0
1930325	7.0
4477681	2.0
258827	9.0
263239	13.0
330638	7.0
1856194	9.0
258820	11.0
4484618	3.0
159422	2.0
2867764	2.0
4484612	12.0
822270	4.0
4484610	12.0
4484611	12.0
4484616	3.0
4484617	3.0
4484615	5.0
4485585	5.0
4485584	5.0
224220	2.0
4485586	5.0
4485581	5.0
4485580	5.0
4485583	5.0
50403	4.0
4485589	5.0
533402	9.0
339443	1.0
263525	7.0
226847	1.0
2578714	2.0
325855	4.0
2094641	6.0
267868	13.0
4259413	8.0
249195	3.0
4333571	5.0
2935009	3.0
3048193	1.0
4484506	2.0
4484507	11.0
154205	5.0
229852	3.0
4484500	4.0
4484501	3.0
4485017	8.0
239021	4.0
4484508	11.0
4484509	11.0
469639	4.0
1690562	10.0
142642	2.0
3756908	1.0
4485691	4.0
4485690	4.0
4485693	4.0
4485692	4.0
4485695	4.0
212576	8.0
4485697	4.0
145355	1.0
342865	1.0
3292557	1.0
3655262	4.0
4484718	7.0
261053	12.0
4485018	8.0
2166055	4.0
4383187	5.0
469890	4.0
4485157	1.0
1964521	2.0
255822	4.0
250576	3.0
3882183	5.0
259661	7.0
398854	2.0
4400661	2.0
231102	2.0
3941139	2.0
163978	3.0
4484983	1.0
4484980	6.0
4484986	3.0
4484987	3.0
4485441	4.0
4484988	2.0
4484989	2.0
4485442	4.0
2626917	7.0
303807	1.0
4485443	4.0
2451488	5.0
559467	7.0
576665	3.0
356835	1.0
129007	6.0
4008646	4.0
340638	10.0
4371156	1.0
4356129	1.0
333163	1.0
181142	1.0
4375316	2.0
364930	7.0
609101	8.0
128454	3.0
229771	2.0
2261538	1.0
4431477	4.0
4485039	9.0
4326876	2.0
190558	10.0
4485035	8.0
4485034	9.0
4485037	9.0
4485036	9.0
4485031	7.0
4485030	7.0
4485033	9.0
4485032	9.0
260893	12.0
128634	3.0
128637	2.0
300050	5.0
173819	5.0
269758	13.0
study_24	4.0
study_25	4.0
study_26	2.0
study_27	6.0
study_20	4.0
study_21	6.0
study_22	4.0
study_23	4.0
study_28	6.0
study_29	4.0
745507	12.0
4392741	2.0
469987	9.0
227100	6.0
1793826	10.0
278595	1.0
1676804	2.0
250958	4.0
303756	2.0
156594	2.0
736550	12.0
269121	1.0
470642	3.0
363476	2.0
149056	3.0
149050	2.0
142004	2.0
250004	3.0
128705	2.0
128706	2.0
2779358	7.0
231446	1.0
269830	10.0
3582255	2.0
133030	2.0
269837	5.0
4485215	3.0
254355	3.0
4485217	3.0
4485216	3.0
4485211	12.0
4485210	2.0
252944	1.0
4484814	7.0
4485219	7.0
4485218	7.0
48125	1.0
469850	5.0
469852	3.0
469853	4.0
610011	4.0
469858	3.0
128616	6.0
470429	7.0
1986992	9.0
108447	1.0
146450	3.0
3574088	7.0
4484761	13.0
162760	7.0
4448947	1.0
484338	5.0
211938	4.0
2622699	2.0
2254758	2.0
4484767	13.0
263689	13.0
264153	2.0
3222668	4.0
238079	10.0
108028	1.0
698296	2.0
251843	6.0
251840	4.0
178974	1.0
4484959	3.0
471350	6.0
4485365	2.0
4485366	5.0
788573	2.0
4485368	7.0
252382	2.0
610172	4.0
176530	7.0
137663	6.0
269050	4.0
252545	3.0
2124151	2.0
2091640	7.0
762855	4.0
4416518	1.0
4416519	1.0
4354087	8.0
3432972	5.0
607461	7.0
4484762	13.0
4484763	13.0
4304879	2.0
267981	11.0
4484766	13.0
4308164	11.0
4484764	13.0
4484765	13.0
3510083	2.0
4484768	12.0
4484769	12.0
4484953	11.0
3304482	7.0
4485122	5.0
142595	3.0
4132075	3.0
142596	4.0
356467	3.0
267218	12.0
471002	4.0
4473713	4.0
4476067	3.0
2817226	2.0
366414	5.0
137538	2.0
103289	6.0
195821	6.0
763899	2.0
4485592	3.0
4485593	4.0
4485590	5.0
145904	3.0
4421459	5.0
4485597	3.0
4485595	3.0
469663	1.0
469662	2.0
4485598	6.0
469664	7.0
242438	9.0
4402257	6.0
4453050	7.0
266105	9.0
258456	13.0
4484571	6.0
4484570	2.0
4484760	13.0
4484576	5.0
577439	11.0
259987	13.0
3198667	1.0
239033	9.0
366564	1.0
1965461	4.0
4067753	6.0
462568	1.0
259857	6.0
4204932	8.0
261912	2.0
4485685	5.0
4485682	3.0
484369	6.0
4485680	3.0
4485681	3.0
197885	6.0
4484889	3.0
201088	4.0
4484883	4.0
3829278	7.0
4484880	4.0
4484887	2.0
4484886	2.0
4484885	2.0
470213	4.0
188012	5.0
471493	7.0
562256	4.0
250541	4.0
128845	5.0
4404992	1.0
128726	6.0
284102	3.0
470879	7.0
4375497	4.0
152737	5.0
4484979	1.0
4484978	3.0
4484977	4.0
4484975	4.0
4484974	4.0
4484973	4.0
