nodes	16S_rRNA_Count
'internal_node_1276'	2.00027584049269
'internal_node_1277'	2.16672424774031
'internal_node_1278'	2.44707346173631
'internal_node_1279'	1.39204583745113
'internal_node_1280'	1.66782045628297
'internal_node_1282'	2.28152766796821
'internal_node_1283'	2.49605644102883
'internal_node_1288'	2.07069666254228
'internal_node_1306'	1
'internal_node_1318'	3.07717371312841
'internal_node_1319'	3.08547819632671
'internal_node_1320'	3.0455869400942
'internal_node_1321'	3.43811986266898
'internal_node_1322'	2.99374427161079
'internal_node_1323'	3.10639767798307
'internal_node_1324'	2.8885084466549
'internal_node_1325'	3.11841871778326
'internal_node_1326'	3.87114066218393
'internal_node_1327'	4.86061260225672
'internal_node_1328'	4.22200203847408
'internal_node_1329'	4.39064582923708
'internal_node_1337'	2.21198750092244
'internal_node_1338'	2
'internal_node_1343'	2.50834678532622
'internal_node_1346'	3
'internal_node_1352'	2.64871021138203
'internal_node_1353'	2.19628414319654
'internal_node_1354'	1.98664156698179
'internal_node_1355'	2.71297091597071
'internal_node_1356'	2.51559760333717
'internal_node_1357'	2
'internal_node_1363'	2.48915563050159
'internal_node_1364'	3
'internal_node_1365'	3
'internal_node_1368'	3
'internal_node_1372'	3.31580358060152
'internal_node_1373'	3.49178546465922
'internal_node_1377'	3.43598224032297
'internal_node_1378'	3.09229213159317
'internal_node_1379'	4.12668885448308
'internal_node_1383'	3.62110552822799
'internal_node_1384'	4
'internal_node_1388'	2.09164016682738
'internal_node_1389'	2.46542949374488
'internal_node_1391'	3.19134583684001
'internal_node_1392'	4.07502080778705
'internal_node_1393'	4.51706457012869
'internal_node_1400'	3.49415796770982
'internal_node_1407'	1.65790009687573
'internal_node_1408'	1.44267984276676
'internal_node_1409'	1.62484800808894
'internal_node_1410'	2
'internal_node_1411'	2
'internal_node_1412'	2
'internal_node_1413'	2
'internal_node_1418'	2
'internal_node_1419'	2
'internal_node_1424'	1
'internal_node_1425'	1
'internal_node_1427'	1
'internal_node_1428'	1
'internal_node_1433'	1
'internal_node_1434'	1
'internal_node_1435'	1
'internal_node_1436'	1
'internal_node_1442'	1
'internal_node_1446'	1
'internal_node_1454'	1
'internal_node_1484'	1
'internal_node_1490'	1
'internal_node_1499'	4.14672497580322
'internal_node_1500'	3.38939104894732
'internal_node_1501'	3.84804690516927
'internal_node_1505'	4.29971539161929
'internal_node_1526'	4.52804848769021
'internal_node_1527'	4
'internal_node_1528'	4
'internal_node_1529'	4
'internal_node_1539'	2.46952094587814
'internal_node_1545'	5.49052912544181
'internal_node_1546'	6
'internal_node_1554'	2.75066706498897
'internal_node_1555'	2.61871864763201
'internal_node_1557'	3.16893140232248
'internal_node_1558'	2.87628238928426
'internal_node_1559'	2.68017500210922
'internal_node_1560'	2.76076112634545
'internal_node_1561'	2
'internal_node_1569'	2.52492552618868
'internal_node_1572'	3.20900692982827
'internal_node_1573'	3.98621655167751
'internal_node_1577'	3.53439542260215
'internal_node_1578'	3
'internal_node_1579'	3
'internal_node_1587'	3.88032770136102
'internal_node_1588'	4.40626308844167
'internal_node_1589'	5.40847961189071
'internal_node_1590'	5
'internal_node_1597'	3.2891763657577
'internal_node_1603'	1.5179875148623
'internal_node_1607'	2
'internal_node_1626'	3.17002624707278
'internal_node_1641'	6
'internal_node_1642'	6
'internal_node_1649'	6
'internal_node_1650'	6
'internal_node_1662'	1
'internal_node_1666'	3.25905594684918
'internal_node_1667'	3.63849447295036
'internal_node_1668'	3.85736683804707
'internal_node_1669'	3.23052404895331
'internal_node_1671'	3.46131093828431
'internal_node_1672'	3.42285587855911
'internal_node_1673'	2.36652320581405
'internal_node_1674'	1.12622265929724
'internal_node_1678'	4
'internal_node_1679'	4
'internal_node_1691'	3.5
'internal_node_1695'	3
'internal_node_1701'	4.54359842286184
'internal_node_1720'	2.76363636363636
'internal_node_1721'	4
'internal_node_1722'	4
'internal_node_1723'	4
'internal_node_1732'	2
'internal_node_1746'	3.05686233687474
'internal_node_1750'	1.72190345407924
'internal_node_1751'	1.41804083450499
'internal_node_1752'	1
