#gg_id	img_genome_id
4452778	644736371
2905740	2516143050
2973622	2516143042
2447926	2516143087
160932	637000171
3370657	2516143050
160634	637000353
4398454	646564552
3971697	640753024
2855245	644736401
3460243	644736400
259772	641736227
3826211	2516143080
264203	641736141
235725	640753053
244710	640753055
4450729	640753058
263541	641736141
3503512	640753024
2622699	643348535
64248	637000045
3826315	643348512
3180283	2516143026
355323	637000186
2064678	642555144
4245789	2516143045
2985416	643348533
160679	637000248
88136	637000213
4448947	637000071
4294258	643886084
128474	637000150
2146321	637000150
176530	640753023
1587937	646311930
2378451	2516143039
2958927	637000352
4262963	2516143039
4294164	645058810
3341005	2516143041
4293725	2516143039
2481947	650716107
2261394	2516143035
2416831	2516143039
4417246	2511231136
1942268	646564559
371128	645058765
606839	648276627
129238	637000199
3633735	2516143096
260178	641736145
2417152	644736397
2020489	2516143024
129270	637000076
4425945	643348510
2867764	648231710
1921980	648231709
338978	641736208
2608235	644736401
471471	643348583
265816	641736144
1134174	2511231179
263364	641736144
271095	641736208
3549586	643348510
174245	639633003
4294237	643886189
484436	645951810
194205	639633051
179442	639633065
194543	639633017
185311	639633015
188012	639633015
4294239	643886189
4294238	643886189
607011	648276633
3624036	2516143092
238720	641228499
3493768	2516143067
2230410	2516143067
2134611	644736400
4208865	2516143067
2337192	2511231152
2207601	2516143067
1526217	2516143013
4479451	2511231062
4426958	2516143071
470144	640612206
4079998	2516143032
2939142	2516143071
4244484	2516143071
4105724	642555153
140272	638341202
2745020	2516143071
4387918	641522611
4475411	651053006
1731655	2516143047
141205	637000051
4479749	637000345
317543	645951875
3653899	2516143101
3448408	650716103
4343248	650716051
470993	645951802
142596	637000060
1985423	650716063
4293668	2516143069
829865	650377924
3550607	2516143092
3945686	2516143101
2517142	2516143093
1609664	2516143092
2077198	2516143093
1604408	2516143093
2037727	2516143093
810933	648231705
3488915	2516143093
4375331	2513237251
197631	639857018
1812772	643692033
1093452	650377901
1687742	2516143042
1883807	2511231163
4294301	645951844
470974	640963025
580234	648276756
263847	641522624
470522	643886103
4294300	645951844
2533930	2516143091
2014969	2516143091
2506750	2516143091
349837	643348519
3499762	2516143038
827232	651053047
4294212	643886151
3455358	2516143023
4367067	648028040
2233672	2516143044
4294227	643886049
317180	642555156
330638	642555157
366414	642979313
3455520	650716015
2579788	650716031
3475083	2516143030
4294416	645951844
1823267	650716031
4478160	650716062
607156	647000237
4344351	650377902
4294280	643886102
2648149	2512047034
260210	641736244
3892213	2516143036
2005499	2511231068
278384	642555171
4294384	645951844
3260111	2516143036
3955710	2516143019
4329869	2511231068
4442938	2511231058
4294385	645951844
4294347	645951844
1946200	2516143073
2538051	2516143019
2357633	643348517
804587	648276637
610979	647000324
3646967	2516143073
1847738	2516143073
3005378	2516143073
3193261	2516143073
470812	643886142
3576518	2516143069
3523033	2516143031
3732396	2516143069
2170216	2516143036
4338114	643348534
2966628	2516143049
3882183	646564557
4294178	643886041
4398043	649633056
263024	641736251
2752860	2516143009
609907	647000288
2801414	2516143079
2134426	2516143079
2462804	2516143057
3251793	2516143054
261703	641736216
4294221	643886049
4294220	643886049
270257	641736243
4294219	643886049
259549	641736222
2699960	2516143054
4054983	2516143054
2146566	2516143024
3286437	2516143094
4402453	649633056
1643213	2516143024
4294370	645951844
2406432	2516143094
3692151	2516143094
2635582	2516143094
4380951	2516143064
365543	642979343
4042183	2516143024
3719465	2516143048
1827079	2516143072
633214	648276682
3569026	2516143072
2479836	637000134
2760015	643692012
3119413	2516143009
3835597	643692030
1744589	643692012
4294179	643886041
269405	641736182
3918931	2516143096
802685	645058773
3608204	639633019
609606	647000274
